objid,acquisid,objtime,latitude,longitude,depth_min,depth_max,objdate,orig_id,sample_id,project_id,images_imgid,images_objid,images_imgrank,images_width,images_height,images_orig_file_name,images_file_name,free_columns_label,free_columns_width,free_columns_height,free_columns_bx,free_columns_by,free_columns_circ.,free_columns_area_exc,free_columns_area,free_columns_%area,free_columns_major,free_columns_minor,free_columns_y,free_columns_x,free_columns_convex_area,free_columns_perim.,free_columns_elongation,free_columns_perimareaexc,free_columns_perimmajor,free_columns_circex,free_columns_angle,free_columns_bounding_box_area,free_columns_eccentricity,free_columns_equivalent_diameter,free_columns_euler_number,free_columns_extent,free_columns_local_centroid_col,free_columns_local_centroid_row,free_columns_solidity,free_columns_meanhue,free_columns_meansaturation,free_columns_meanvalue,free_columns_stdhue,free_columns_stdsaturation,free_columns_stdvalue,random_value
583092271,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_3,530575,12053,682719188,583092271,221,136,163,19_30_52_284030_3.jpg,68271/9188.jpg,220.0,116.0,143.0,2909.0,1888.0,0.6620639989310805,10220.0,10220.0,0.0,159.93068952128883,85.91582374453668,1953.3785714285716,2958.546183953033,11182.0,440.43354954612926,1.861481186478861,0.0430952592510889,2.7539026491066427,0.6620639989310805,57.83876318776295,16588.0,0.8434506843221545,114.07238117613468,1.0,0.6161080299011333,49.54618395303327,65.37857142857143,0.9139688785548202,74.48219178082192,35.3486301369863,189.6318982387476,52.57688783983056,36.95452437659539,62.67867548212201,0
583092272,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_4,530575,12053,682719189,583092272,222,563,503,19_30_52_284030_4.jpg,68271/9189.jpg,221.0,543.0,483.0,1797.0,2082.0,0.5416970631073389,156448.0,156448.0,0.0,595.3007377696291,366.48908902218704,2305.112459091839,2065.248638525261,180335.0,1905.073339321668,1.6243341359982204,0.0121770386283088,3.200186424191696,0.5416970631073389,23.80140686989263,262269.0,0.7880299687530581,446.3135448255259,1.0,0.5965173161906288,268.2486385252608,223.1124590918388,0.8675409654254582,23.37884792391082,136.68184316833708,48.76426672121088,35.87595990210875,36.34757365778479,44.58506972519536,0
583092273,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_5,530575,12053,682719190,583092273,223,189,159,19_30_52_284030_5.jpg,68271/9190.jpg,222.0,169.0,139.0,1348.0,2116.0,0.5939568699643599,14923.0,14923.0,0.0,160.5100138062393,126.27651658055582,2190.372043154862,1438.964953427595,16357.0,561.8954903232548,1.2710994740169668,0.0376529846762215,3.500688069228818,0.5939568699643599,17.937280642905534,23491.0,0.6173093810224154,137.84249608187903,1.0,0.6352645694095611,90.964953427595,74.37204315486163,0.912331112062114,72.52804395898949,51.479863298264426,155.04952087381895,60.52910678162605,38.66604761134164,65.62064498350817,0
583092274,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_6,530575,12053,682719191,583092274,224,333,279,19_30_52_284030_6.jpg,68271/9191.jpg,223.0,313.0,259.0,1161.0,2556.0,0.7772765240394892,58833.0,58833.0,0.0,307.2915349595962,246.4636405646289,2691.465130114052,1306.4036680094505,60137.0,975.2762620207484,1.2468027099478665,0.0165770275529167,3.173781738403504,0.7772765240394892,159.9206363091027,81067.0,0.5972548621815014,273.6941762906252,1.0,0.7257330356371889,145.40366800945048,135.46513011405165,0.978316178060096,22.096153519283398,155.19086227117435,57.9442999677052,32.54153224495655,37.91480228141919,48.03731829516624,0
583092275,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_53_772789_0,530575,12053,682719192,583092275,225,404,341,19_30_53_772789_0.jpg,68271/9192.jpg,224.0,384.0,321.0,203.0,1521.0,0.7317933468951363,81043.0,81043.0,0.0,418.0938450407053,249.9961062172688,1677.5574941697616,392.6116506052343,82497.0,1179.691521603648,1.6724014280340218,0.014556365406064,2.821595045219558,0.7317933468951363,35.916196322934354,123264.0,0.8015389501869792,321.2275710831369,1.0,0.65747501298027,189.61165060523425,156.55749416976172,0.9823751166709092,24.27687770689634,125.25340868427872,55.26794417778216,34.853482606759144,31.829179017362385,51.3474882259997,0
583092276,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_53_772789_1,530575,12053,682719193,583092276,226,330,382,19_30_53_772789_1.jpg,68271/9193.jpg,225.0,310.0,362.0,2815.0,1728.0,0.5171218247908059,86849.0,87900.0,0.0119567690557451,363.8393601154931,317.9824201569659,1912.3872007737568,2973.9504196939515,93103.0,1461.513852073984,1.144212186119883,0.0168282173896531,4.016920686123836,0.5109387185580967,66.79906601158086,112220.0,0.4859910723510931,332.5350826915923,-1.0,0.7739173052931742,158.95041969395157,184.38720077375677,0.9328270839822562,26.46977246871445,148.11654152445962,82.09151308304892,38.49957384712353,49.6336845403778,58.677371864526044,0
583092277,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_53_772789_2,530575,12053,682719194,583092277,227,183,154,19_30_53_772789_2.jpg,68271/9194.jpg,226.0,163.0,134.0,2402.0,1824.0,0.5678214584240131,11845.0,11845.0,0.0,157.03613196439255,105.36360535172427,1900.5621781342336,2476.1960320810467,13688.0,511.9959953866432,1.4904210181511472,0.0432246513623168,3.2603706483469463,0.5678214584240131,157.55530386474288,21842.0,0.7415013693233049,122.80685000189526,1.0,0.5423038183316546,74.19603208104685,76.56217813423386,0.8653565166569258,65.7273955255382,31.49514563106796,187.66728577458844,50.22159150489212,33.151553410525466,65.29932494428733,0
583092278,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_55_260922_0,530575,12053,682719195,583092278,228,451,388,19_30_55_260922_0.jpg,68271/9195.jpg,227.0,431.0,368.0,908.0,660.0,0.8070350552780031,118125.0,118125.0,0.0,438.3421225827097,346.5956832072656,847.0028275132275,1116.3931767195768,120260.0,1356.2184335382292,1.2647073919861238,0.0114812142521754,3.093972410288558,0.8070350552780031,22.270065404195165,158608.0,0.6122080367243031,387.8162209369808,1.0,0.7447606678099465,208.39317671957676,187.00282751322752,0.9822467986030268,24.460435978835974,132.30977354497355,73.33305396825396,34.437327889204,39.86793848015861,60.73238087457496,0
583092279,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_55_260922_1,530575,12053,682719196,583092279,229,185,93,19_30_55_260922_1.jpg,68271/9196.jpg,228.0,165.0,73.0,3488.0,1940.0,0.4894065750161062,7558.0,7558.0,0.0,165.73620980458057,61.31823450610212,1980.09182323366,3563.482799682456,8736.0,440.5279579551077,2.7028861991792543,0.0582863135690801,2.65800671123428,0.4894065750161062,4.754437483843191,12045.0,0.9290417576196892,98.09762728582358,1.0,0.6274802822748028,75.48279968245568,40.091823233659696,0.8651556776556777,92.39600423392432,75.55570256681662,173.7505953956073,49.12274584896199,74.02856815477185,70.0048658879626,0
583092280,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_56_742546_0,530575,12053,682719197,583092280,230,175,140,19_30_56_742546_0.jpg,68271/9197.jpg,229.0,155.0,120.0,1966.0,1996.0,0.2083507552925418,8991.0,11586.0,0.2239772138788193,167.23270367634683,97.93322910841216,2050.2605939272607,2040.5709042375709,11944.0,835.9381669041239,1.7076196220510622,0.0929749935384411,4.998652467653418,0.1616849336125706,22.45295962947438,18600.0,0.8105925789433104,106.99390985805616,-2.0,0.4833870967741935,74.5709042375709,54.260593927260594,0.7527628935030141,100.97764543414466,42.9489038494735,214.2518556878992,40.16481581771456,58.23378432128803,52.95547987418836,0
583092281,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_56_742546_1,530575,12053,682719198,583092281,231,541,138,19_30_56_742546_1.jpg,68271/9198.jpg,230.0,531.0,118.0,3525.0,2307.0,0.0757624353923193,8889.0,8889.0,0.0,595.4010242690098,58.03369506864165,2386.702778715266,3795.364045449432,24424.0,1214.239682094289,10.259574606868918,0.1366002567323983,2.0393644495070267,0.0757624353923193,10.803611363839169,62658.0,0.9952384704694016,106.38527300877158,1.0,0.1418653643589007,270.3640454494319,79.70277871526606,0.363945299705208,72.62852964337945,23.1804477444032,199.0565867926651,46.61347683713895,20.52654431380875,59.01382001284076,0
583092282,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_58_164212_0,530575,12053,682719199,583092282,232,154,109,19_30_58_164212_0.jpg,68271/9199.jpg,231.0,144.0,89.0,0.0,1096.0,0.6477004833840341,8582.0,8582.0,0.0,147.15979924276164,76.9153255710359,1139.6034723840596,74.87450477744116,9339.0,408.04877323527904,1.9132701857557732,0.0475470488505335,2.7728277378398896,0.6477004833840341,16.56902423489221,12816.0,0.8525379457835781,104.5320131486865,1.0,0.6696317103620475,74.87450477744116,43.60347238405966,0.9189420708855338,72.23176415753903,88.78035422978327,151.242134700536,55.31272929052869,52.50769158039363,64.62972610673503,0
